aaa,augmented_reality; anticipate; adopt; annotation_tools; archive; avatar
bbb,bandwidth; bricks_and_mortar; botnet; barrier; billing; beneficial; Big_Brother; black_hat; bulletin_board
ccc,contingency_planning; growth_curve; cybercrime; commercial; connectivity; consumer_protection; censorship; civil_law; client_consent; confidentiality
ddd,decrease; dispute_resolution; data_protection; denial_of_service; digital_rights_management_(DRM)
eee,exploit; encrypt; ethical; eventuality
fff,forgery; fraud; factor; regulatory_framework; faulty
ggg,growth_curve; go_up; global; goods; services; government; gray_hat; geospatial
iii,intellectual_property_(IP); identity_theft; infrastructure; impact
kkk,keylogger
lll,lifelogging; legislation; legal_legislation
mmm,software_maintenance; bricks_and_mortar; malware; Moore's_law
nnn,negligence
ooo,overwhelming; obligation; successful_outcome
ppp,penetration_testing; procurement; phishing; intellectual_property; pharming; contingency_planning; payment_collection; promotion; purchase; persistent_trend
rrr,ransomware; augmented_reality; rise; regulatory_framework; reputation; reverse_engineering; root_access; reflect
sss,software_maintenance; surveillance_system; virtual_storefront; securely; status_quo; submit; social_engineering; successful_outcome
ttt,trojan; identity_theft; technical_infrastructure; transaction; target_system; Trojan; persistent_trend
uuu,unpatched_exploit; ubiquitous_computing
vvv,virtual_storefront
www,white_hat
zlte,network;architecture;geographical area;personal;local;wide;VPN;topology;bus;star;ring;mesh;broadcast;point-to-point;packets;
lis,requirements;obligations;pressures;attitued;firing


